From;To;Type;Through;start_x;start_y;stop_x;stop_y;Comment
#BRITAIN
13;1690;sea;1019;655;3096;668;3105;Slemish-Arran
14;1684;sea;1019;677;3055;700;3064;Carrickfergus-Wigtown
35;1691;sea;696;671;3198;674;3203;Mull-Ardnamurchon
1504;1515;river_large;628;-1;-1;-1;-1;Rochester-Maldon
1527;1526;river_large;629;948;2791;-1;-1;London-Southwark
1546;1549;sea;966;877;2730;880;2735;Portsmouth-Carisbrooke
1667;1673;sea;1019;725;2933;730;2930;Caernarfon-Yns Mon
1684;1699;sea;1019;724;3059;729;3032;Wigtown-Ramsey
1692;1693;sea;992;660;3288;653;3305;Skye-Lewis
1692;1694;sea;696;638;3272;621;3279;Skye-Uists
1693;1694;sea;992;628;3294;622;3289;Lewis-Uists
1690;1689;sea;700;660;3132;675;3127;Arran-Islay
1689;1691;sea;700;656;3154;667;3180;Islay-Mull
1707;8;sea;693;820;3357;830;3369;Thurso-Kirkwall
1711;1692;sea;696;680;3241;686;3239;Glenfinnan-Skye
#IBERIA
1748;1839;river_large;3250;536;1729;-1;-1;Faor-Ayamonte
1833;1835;river_large;3252;570;1835;-1;-1;Zalaca-Badajoz
1845;4682;sea;954;657;1643;658;1630;Algeciras-Sabta
1979;1995;river_large;3253;687;1758;-1;-1;Cabra-Cordoba
1981;1993;river_large;3253;619;1732;-1;-1;Seville-Triana
#FRANCE
2016;2017;river_large;3247;1202;2143;-1;-1;Nimes-Arles
2142;2144;river_large;3224;901;2273;-1;-1;Bordeaux-Blaye
2261;2267;river_large;3227;922;2452;-1;-1;Saumur-Angers
2175;2179;river_large;3234;992;2618;-1;-1;Harcourt-Rouen
2151;2152;river_large;3226;-1;-1;-1;-1;Rais-Nantes
2332;2181;river_large;3236;1034;2577;-1;-1;Montfort-Mantes
2333;2357;river_large;3236;-1;-1;-1;-1;Paris-Saint-Denis
#GERMANY
2113;2401;sea;3230;1189;2794;1184;2788;Bergen op Zoom-Brielle
2402;2401;sea;3230;1203;2794;1209;2795;Dort-Brielle
2425;2103;river_large;3231;1271;2795;-1;-1;Tiel-Nijmegen
2101;2677;river_large;3231;1327;2762;-1;-1;Moers-Essen
2407;2412;sea;973;1237;2893;1244;2903;Aalkmar-Wadeilannen
2413;2412;sea;973;1293;2908;1291;2913;Leeuwarden-Wadeilannen
2802;2803;river_large;3237;-1;-1;-1;-1;Hamburg-Buxtehude
2814;2899;river_large;3239;1601;2867;-1;-1;Havelberg-Weben
#ITALY
2489;2491;river_large;3245;1513;2234;-1;-1;Roncaglia-Cremona
2525;2527;river_large;3243;1610;2225;-1;-1;Rovigo-Ferrara
2627;2633;sea;8653;1864;1706;1855;1701;Reggio-Messina
2652;2658;sea;8637;1477;1948;1482;1939;Bonifacio-Olbia
#SCANDINAVIA
55;81;sea;1001;1518;3178;1517;3168;Lindholm-Aalborg
227;228;sea;999;1510;3065;1514;3061;Taulov-Middelfart
64;67;sea;999;1618;3022;1617;3014;Naestved-Nykobing
65;69;sea;999;1559;3050;1583;3055;Odense-Slagelse
